,train_id,name,item_condition_id,category_name,brand_name,price,shipping,item_description
779634,779634,Ugg sz 10 toddler BNIB,1,Kids/Girls 2T-5T/Shoes,UGG Australia,81.0,0,Brand new with box as pictured
964333,964333,TENNESSEE SWEATSHIRT,2,Sports & Outdoors/Fan Shop/NCAA,,13.0,0,"Men's small... unisex, EUC. No stains tears ect."
630071,630071,Cabbage patch kids accessories Christmas,1,Kids/Toys/Dolls & Accessories,Mattel®,15.0,0,"So cute! Accessories for ur cabbage patch kid darling! Adorable rain gear Check other listings for more cabbage patch authentic items And remember.... Check out my other listings! Movie DVDs, clothing such as Gymboree, Justice, Nike, ADDIDAS, under armor, Lane Bryant, ny&co and more!!!!! Toys such as barbies, cabbage patch kids, cars, books, bakugan Etc....."
100831,100831,5 Febreze CAR clips,1,Home/Cleaning Supplies/Air Fresheners,Febreze,11.0,1,(5) Febreze CAR clips. Assorted Free shipping!
258025,258025,Ginger,2,Beauty/Makeup/Lips,,14.0,1,Have Any Questions Please Ask :)
1175396,1175396,Coach,3,Women/Women's Handbags/Shoulder Bag,Coach,37.0,1,Very good condition straps inside & bottom show little to know use
868744,868744,Publik Trust soccer jersey,3,Men/Athletic Apparel/Jerseys,,14.0,0,This item has never been worn. Small stain (3rd picture) I'm sure can be removed Men's size Large Shop now :))
1241172,1241172,Marc by Marc Jacobs carry on wallet,3,Women/Women's Accessories/Wallets,MARC BY MARC JACOBS,24.0,0,"Yellow leather full wallet , main zipper closure, two pockets outside , inside zipper coin pocket, card slots and bill slots size 7.5"" x 4.5"" the wallet does has color fading no ripped"
565856,565856,Lululemon leggings,2,"Women/Athletic Apparel/Pants, Tights, Leggings",Lululemon,29.0,1,Excellent cond blue and black
1137807,1137807,floam beads,1,Kids/Toys/Arts & Crafts,,5.0,1,this is a small pack of styrofoam floam beads that can be used to make floam! FREE SHIPPING tags: floam beads slime beads
945673,945673,Victoria's Secret Set,3,Women/Other/Other,Victoria's Secret,15.0,1,Great used condition
1083255,1083255,Alien pendant black choker,1,Women/Jewelry/Necklaces,,7.0,1,Black choker Stretchable One size Handmade
148279,148279,Men's Gel Asics size 13 great condition,3,Men/Shoes/Athletic,ASICS,36.0,0,Men's Gel Asics size 13 great condition
6994,6994,Wonder Woman DC duffle bag,1,Women/Women's Handbags/Totes & Shoppers,,28.0,1,"**Brand New** Wonder Woman DC duffle bag by Pottery Barn Great quality bag, water repellant. Nice size for gym bag or overnight bag Free Shipping! Size: Overall: 21.5"" wide x 11"" deep x 11"" high Interior Zipper Pocket: 8"" wide x 6.5"" high Carrying Handle (2): 1.5"" wide x 5.5"" long ; 7"" drop Shoulder Strap: 1.5"" wide x 19-34"" long"
1166572,1166572,Naked 2 DUPE,1,Beauty/Makeup/Makeup Palettes,,16.0,0,Nude collection from pure cosmetics! Never used only opened to look at! Regular price [rm]. Last pic shows my used Naked 2 palette (bottom) and the similarity. Purchase does NOT include my used naked palette...
1114731,1114731,Vera Bradley wristlet,3,Handmade/Bags and Purses/Wristlet,,7.0,1,Vera Bradley wristlet
1323896,1323896,BOGO 1/2 Off,3,Women/Shoes/Sandals,,51.0,0,"Chacos Size 8 Great Condition buy 1 get 1 half off sale** If you want more than 2 items I will still give you half off after 2nd item. Higher priced item is first item. You don't chose which item you want half off. If an item is already [rm] that's as low as I will on it. The more you buy the better deal you get though :-) Don't ask me to lower shipping, my post office checks weights and will return it back to me. If you ask me if i will take a lower price and i change it and i hear nothing back from you I will block you. I'm open to offers but dont low ball me"
244016,244016,Anastasia dipbrow and brush,1,Beauty/Makeup/Eyes,Anastasia Beverly Hills,17.0,1,"INCLUDES EVERYTHING! ABH Anastasia BH dip brow pomade and #12 brush bundle. Both are brand new, never used, and still sealed in original packaging. Price is firm. SUPER FAST SAME DAY SHIPPING Tags: Brow definer, brow wiz, eyebrow pencil, eyebrows"
769199,769199,Nike 8c,3,Kids/Girls 0-24 Mos/Shoes,Nike,20.0,0,Nike with Velcro Size 8c Excellent Condition
897323,897323,Wireless headphones,1,"Electronics/TV, Audio & Surveillance/Headphones",,14.0,0,"DonTangle brand, never used before, comes with changeable earbud sizes, compatible with iOS and android devices. Triangular carrying case comes with charger, instruction manual, and attachments"
803313,803313,Knee high boots,1,Women/Shoes/Boots,,51.0,0,Black is one of the colors of the season get gorgeous Kylie's look with our new black boots! Sizes available 5.5-10 PRICE IS FIRM ⚠️Please make sure l have your size before any purchased thank you ⚠️ •Suede and stretchy material •High heel 4 inches •Lenght 26 inches •Circumference 16 inches ❤️ANY QUESTIONS LET ME KNOW ❤️
